model_id,link_type,material,material-age,material-age-velocity
link_0155,pipe,G1,G1,G2
link_0156,pipe,G1,G1,G1
link_0157,pipe,G2,G3,G5
link_0158,pipe,G1,G1,G1
link_0159,pipe,G1,G1,G1
link_0160,pipe,G1,G1,G1
link_0161,pipe,G1,G1,G2
link_0162,pipe,G1,G1,G2
link_0163,pipe,G1,G1,G2
link_0164,pipe,G1,G1,G2
link_0165,pipe,G2,G3,G5
link_0166,pipe,G2,G3,G5
link_0167,pipe,G1,G1,G2
link_0168,pipe,G1,G1,G1
link_0169,pipe,G1,G1,G2
link_0170,pipe,G1,G1,G1
link_0171,pipe,G1,G1,G1
link_0172,pipe,G1,G1,G1
link_0173,pipe,G1,G1,G2
link_0174,pipe,G1,G1,G2
link_0175,pipe,G1,G1,G1
link_0176,pipe,G1,G1,G2
link_0177,pipe,G2,G3,G5
link_0178,pipe,G1,G1,G2
link_0179,pipe,G1,G1,G1
link_0180,pipe,G1,G1,G2
link_0181,pipe,G1,G1,G2
link_0182,pipe,G2,G3,G5
link_0183,pipe,G2,G3,G5
link_0184,pipe,G2,G3,G5
link_0185,pipe,G2,G3,G5
link_0186,pipe,G2,G3,G5
link_0187,pipe,G1,G1,G2
link_0188,pipe,G2,G3,G5
link_0189,pipe,G1,G1,G1
link_0190,pipe,G1,G1,G1
link_0191,pipe,G2,G3,G5
link_0192,pipe,G1,G1,G2
link_0193,pipe,G2,G3,G5
link_0194,pipe,G1,G1,G1
link_0195,pipe,G1,G1,G2
link_0196,pipe,G1,G1,G2
link_0197,pipe,G1,G1,G2
link_0198,pipe,G1,G1,G2
link_0199,pipe,G1,G1,G1
link_0200,pipe,G1,G1,G2
link_0201,pipe,G1,G1,G2
link_0202,pipe,G2,G3,G5
link_0203,pipe,G1,G1,G2
link_0204,pipe,G1,G1,G1
link_0205,pipe,G1,G1,G2
link_0206,pipe,G1,G1,G2
link_0207,pipe,G1,G1,G2
link_0208,pipe,G1,G1,G2
link_0209,pipe,G1,G1,G1
link_0210,pipe,G1,G1,G2
link_0211,pipe,G1,G1,G2
link_0212,pipe,G1,G1,G1
link_0213,pipe,G1,G1,G1
link_0214,pipe,G1,G1,G2
link_0215,pipe,G1,G1,G1
link_0216,pipe,G1,G1,G1
link_0217,pipe,G1,G1,G2
link_0218,pipe,G1,G1,G1
link_0219,pipe,G1,G2,G3
link_0220,pipe,G1,G1,G2
link_0221,pipe,G1,G1,G2
link_0222,pipe,G2,G3,G5
link_0223,pipe,G1,G1,G1
link_0224,pipe,G1,G1,G2
link_0225,pipe,G2,G3,G5
link_0226,pipe,G1,G2,G3
link_0227,pipe,G2,G3,G5
link_0228,pipe,G1,G1,G2
link_0229,pipe,G1,G1,G2
link_0230,pipe,G1,G1,G2
link_0231,pipe,G2,G3,G5
link_0232,pipe,G2,G3,G5
link_0233,pipe,G2,G3,G5
link_0234,pipe,G1,G1,G2
link_0235,pipe,G1,G2,G4
link_0236,pipe,G1,G1,G1
link_0237,pipe,G2,G3,G5
link_0238,pipe,G1,G1,G1
link_0239,pipe,G2,G3,G5
link_0240,pipe,G2,G3,G5
link_0241,pipe,G2,G3,G5
link_0242,pipe,G2,G3,G5
link_0243,pipe,G2,G3,G5
link_0244,pipe,G2,G3,G5
link_0245,pipe,G2,G3,G5
link_0246,pipe,G2,G3,G5
link_0247,pipe,G2,G3,G5
link_0248,pipe,G2,G3,G5
link_0249,pipe,G2,G3,G5
link_0250,pipe,G2,G3,G5
link_0251,pipe,G2,G3,G5
link_0252,pipe,G2,G3,G5
link_0253,pipe,G2,G3,G5
link_0254,pipe,G2,G3,G5
link_0255,pipe,G1,G1,G2
link_0256,pipe,G2,G3,G5
link_0257,pipe,G2,G3,G5
link_0258,pipe,G1,G1,G2
link_0259,pipe,G1,G2,G4
link_0260,pipe,G1,G2,G3
link_0261,pipe,G2,G3,G5
link_0262,pipe,G2,G3,G5
link_0263,pipe,G2,G3,G5
link_0264,pipe,G2,G3,G5
link_0265,pipe,G2,G3,G5
link_0266,pipe,G2,G3,G5
link_0267,pipe,G2,G3,G5
link_0268,pipe,G2,G3,G5
link_0269,pipe,G1,G2,G3
link_0270,pipe,G1,G1,G2
link_0271,pipe,G1,G2,G4
link_0272,pipe,G1,G1,G2
link_0273,pipe,G1,G1,G1
link_0274,pipe,G1,G1,G1
link_0275,pipe,G2,G3,G5
link_0276,pipe,G2,G3,G5
link_0277,pipe,G2,G3,G5
link_0278,pipe,G2,G3,G5
link_0279,pipe,G1,G1,G2
link_0280,pipe,G1,G1,G1
link_0281,pipe,G1,G1,G2
link_0282,pipe,G2,G3,G5
link_0283,pipe,G2,G3,G5
link_0284,pipe,G2,G3,G5
link_0285,pipe,G2,G3,G5
link_0286,pipe,G2,G3,G5
link_0287,pipe,G2,G3,G5
link_0288,pipe,G2,G3,G5
link_0289,pipe,G2,G3,G5
link_0290,pipe,G1,G1,G2
link_0291,pipe,G2,G3,G5
link_0292,pipe,G1,G1,G1
link_0293,pipe,G2,G3,G5
link_0294,pipe,G2,G3,G5
link_0295,pipe,G2,G3,G5
link_0296,pipe,G2,G3,G5
link_0297,pipe,G2,G3,G5
link_0298,pipe,G2,G3,G5
link_0299,pipe,G2,G3,G5
link_0300,pipe,G2,G3,G5
link_0301,pipe,G2,G3,G5
link_0302,pipe,G2,G3,G5
link_0303,pipe,G2,G3,G5
link_0304,pipe,G2,G3,G5
link_0305,pipe,G1,G1,G1
link_0306,pipe,G2,G3,G5
link_0307,pipe,G2,G3,G5
link_0308,pipe,G2,G3,G5
link_0309,pipe,G2,G3,G5
link_0310,pipe,G2,G3,G5
link_0311,pipe,G2,G3,G5
link_0312,pipe,G2,G3,G5
link_0313,pipe,G1,G1,G2
link_0314,pipe,G2,G3,G5
link_0315,pipe,G1,G1,G2
link_0316,pipe,G1,G1,G2
link_0317,pipe,G2,G3,G5
link_0318,pipe,G2,G3,G5
link_0319,pipe,G2,G3,G5
link_0320,pipe,G2,G3,G5
link_0321,pipe,G2,G3,G5
link_0322,pipe,G1,G1,G1
link_0323,pipe,G1,G1,G1
link_0324,pipe,G1,G1,G1
link_0325,pipe,G2,G3,G5
link_0326,pipe,G1,G1,G1
link_0327,pipe,G2,G3,G5
link_0328,pipe,G1,G2,G4
link_0329,pipe,G2,G3,G5
link_0330,pipe,G2,G3,G5
link_0331,pipe,G1,G1,G1
link_0332,pipe,G1,G1,G2
link_0333,pipe,G1,G2,G4
link_0334,pipe,G1,G2,G4
link_0335,pipe,G1,G2,G4
link_0336,pipe,G1,G1,G1
link_0337,pipe,G2,G3,G5
link_0338,pipe,G2,G3,G5
link_0339,pipe,G2,G3,G5
link_0340,pipe,G2,G3,G5
link_0341,pipe,G1,G1,G2
link_0342,pipe,G1,G2,G3
link_0343,pipe,G1,G1,G1
link_0344,pipe,G1,G1,G1
link_0345,pipe,G1,G1,G1
link_0346,pipe,G2,G3,G5
link_0347,pipe,G1,G2,G4
link_0348,pipe,G1,G2,G4
link_0349,pipe,G1,G2,G4
link_0350,pipe,G2,G3,G5
link_0351,pipe,G2,G3,G5
link_0352,pipe,G1,G2,G4
link_0353,pipe,G2,G3,G5
link_0354,pipe,G2,G3,G5
link_0355,pipe,G2,G3,G5
link_0356,pipe,G2,G3,G5
link_0357,pipe,G2,G3,G5
link_0358,pipe,G2,G3,G5
link_0359,pipe,G2,G3,G5
link_0360,pipe,G2,G3,G5
link_0361,pipe,G2,G3,G5
link_0362,pipe,G2,G3,G5
link_0363,pipe,G2,G3,G5
link_0364,pipe,G2,G3,G5
link_0365,pipe,G2,G3,G5
link_0366,pipe,G2,G3,G5
link_0367,pipe,G1,G1,G2
link_0368,pipe,G1,G1,G2
link_0369,pipe,G1,G2,G4
link_0370,pipe,G2,G3,G5
link_0371,pipe,G2,G3,G5
link_0372,pipe,G1,G2,G4
link_0373,pipe,G1,G1,G2
link_0374,pipe,G1,G1,G2
link_0375,pipe,G1,G2,G4
link_0376,pipe,G2,G3,G5
link_0377,pipe,G2,G3,G5
link_0378,pipe,G2,G3,G5
link_0379,pipe,G1,G2,G4
link_0380,pipe,G1,G1,G2
link_0381,pipe,G1,G2,G4
link_0382,pipe,G1,G2,G4
link_0383,pipe,G1,G2,G3
link_0384,pipe,G2,G3,G5
link_0385,pipe,G1,G1,G2
link_0386,pipe,G1,G1,G2
link_0387,pipe,G1,G1,G2
link_0388,pipe,G1,G1,G1
link_0389,pipe,G1,G1,G1
link_0390,pipe,G1,G1,G1
link_0391,pipe,G1,G1,G1
link_0392,pipe,G2,G3,G5
link_0393,pipe,G2,G3,G5
link_0394,pipe,G1,G1,G1
link_0395,pipe,G1,G1,G1
link_0396,pipe,G1,G1,G2
link_0397,pipe,G1,G1,G2
link_0398,pipe,G2,G3,G5
link_0399,pipe,G2,G3,G5
link_0400,pipe,G2,G3,G5
link_0401,pipe,G2,G3,G5
link_0402,pipe,G1,G1,G1
link_0403,pipe,G1,G1,G1
link_0404,pipe,G2,G3,G5
link_0405,pipe,G2,G3,G5
link_0406,pipe,G2,G3,G5
link_0407,pipe,G1,G2,G3
link_0408,pipe,G1,G1,G2
link_0409,pipe,G1,G1,G2
link_0410,pipe,G1,G1,G2
link_0411,pipe,G2,G3,G5
link_0412,pipe,G1,G1,G1
link_0413,pipe,G1,G1,G2
link_0414,pipe,G1,G1,G2
link_0415,pipe,G1,G1,G2
link_0416,pipe,G2,G3,G5
link_0417,pipe,G2,G3,G5
link_0418,pipe,G2,G3,G5
link_0419,pipe,G1,G1,G1
link_0420,pipe,G1,G1,G2
link_0421,pipe,G1,G1,G1
link_0422,pipe,G1,G1,G2
link_0423,pipe,G2,G3,G5
link_0424,pipe,G2,G3,G5
link_0425,pipe,G2,G3,G5
link_0426,pipe,G2,G3,G5
link_0427,pipe,G2,G3,G5
link_0428,pipe,G2,G3,G5
link_0429,pipe,G1,G1,G1
link_0430,pipe,G2,G3,G5
link_0431,pipe,G1,G2,G3
link_0432,pipe,G2,G3,G5
link_0433,pipe,G1,G1,G2
link_0434,pipe,G2,G3,G5
link_0435,pipe,G1,G1,G2
link_0436,pipe,G2,G3,G5
link_0437,pipe,G1,G1,G1
link_0438,pipe,G2,G3,G5
link_0439,pipe,G1,G2,G3
link_0440,pipe,G2,G3,G5
link_0441,pipe,G1,G1,G1
link_0442,pipe,G1,G1,G1
link_0443,pipe,G1,G1,G2
link_0444,pipe,G2,G3,G5
link_0445,pipe,G2,G3,G5
link_0446,pipe,G1,G1,G2
link_0447,pipe,G1,G1,G1
link_0448,pipe,G1,G1,G1
