prv_id,prv_link,flow,outlet_pressure
Lodge Causeway PRV,link_2820,0,17.751255789170827
Lodge Causeway PRV,link_2820,0,17.600034359927296
Lodge Causeway PRV,link_2820,1,17.600034359927296
Lodge Causeway PRV,link_2820,2,17.60474777940868
Lodge Causeway PRV,link_2820,3,17.611267995525484
Lodge Causeway PRV,link_2820,4,17.619595008277713
Lodge Causeway PRV,link_2820,5,17.62972881766537
Lodge Causeway PRV,link_2820,6,17.641669423688448
Lodge Causeway PRV,link_2820,7,17.65541682634695
Lodge Causeway PRV,link_2820,8,17.670971025640878
Lodge Causeway PRV,link_2820,9,17.68833202157023
Lodge Causeway PRV,link_2820,10,17.707499814135
Lodge Causeway PRV,link_2820,11,17.728474403335202
Lodge Causeway PRV,link_2820,12,17.751255789170827
Stoke Lane PRV,link_2835,0,31.576929496922403
Stoke Lane PRV,link_2835,0,8.304720421831519
Stoke Lane PRV,link_2835,4,8.304720421831519
Stoke Lane PRV,link_2835,5,8.729849528355254
Stoke Lane PRV,link_2835,6,9.208315550393001
Stoke Lane PRV,link_2835,7,9.740118487944759
Stoke Lane PRV,link_2835,8,10.325258341010532
Stoke Lane PRV,link_2835,9,10.963735109590313
Stoke Lane PRV,link_2835,10,11.655548793684108
Stoke Lane PRV,link_2835,11,12.400699393291912
Stoke Lane PRV,link_2835,12,13.199186908413731
Stoke Lane PRV,link_2835,13,14.051011339049559
Stoke Lane PRV,link_2835,14,14.956172685199402
Stoke Lane PRV,link_2835,15,15.914670946863254
Stoke Lane PRV,link_2835,16,16.92650612404112
Stoke Lane PRV,link_2835,17,17.991678216732993
Stoke Lane PRV,link_2835,18,19.110187224938883
Stoke Lane PRV,link_2835,19,20.282033148658783
Stoke Lane PRV,link_2835,20,21.507215987892693
Stoke Lane PRV,link_2835,21,22.785735742640618
Stoke Lane PRV,link_2835,22,24.117592412902553
Stoke Lane PRV,link_2835,23,25.502785998678497
Stoke Lane PRV,link_2835,24,26.94131649996846
Stoke Lane PRV,link_2835,25,28.43318391677243
Stoke Lane PRV,link_2835,26,29.978388249090415
Stoke Lane PRV,link_2835,27,31.576929496922403
Woodland Way PRV,link_2848,0,16.558495304028327
Woodland Way PRV,link_2848,0,16.159862368993313
Woodland Way PRV,link_2848,7,16.159862368993313
Woodland Way PRV,link_2848,8,16.165818705743234
Woodland Way PRV,link_2848,9,16.172331444387954
Woodland Way PRV,link_2848,10,16.17940058492747
Woodland Way PRV,link_2848,11,16.187026127361783
Woodland Way PRV,link_2848,12,16.19520807169089
Woodland Way PRV,link_2848,13,16.203946417914793
Woodland Way PRV,link_2848,14,16.213241166033495
Woodland Way PRV,link_2848,15,16.22309231604699
Woodland Way PRV,link_2848,16,16.233499867955285
Woodland Way PRV,link_2848,17,16.244463821758373
Woodland Way PRV,link_2848,18,16.25598417745626
Woodland Way PRV,link_2848,19,16.26806093504894
Woodland Way PRV,link_2848,20,16.280694094536415
Woodland Way PRV,link_2848,21,16.293883655918687
Woodland Way PRV,link_2848,22,16.307629619195758
Woodland Way PRV,link_2848,23,16.321931984367623
Woodland Way PRV,link_2848,24,16.336790751434286
Woodland Way PRV,link_2848,25,16.352205920395743
Woodland Way PRV,link_2848,26,16.368177491252
Woodland Way PRV,link_2848,27,16.384705464003048
Woodland Way PRV,link_2848,28,16.401789838648895
Woodland Way PRV,link_2848,29,16.419430615189537
Woodland Way PRV,link_2848,30,16.437627793624976
Woodland Way PRV,link_2848,31,16.45638137395521
Woodland Way PRV,link_2848,32,16.475691356180242
Woodland Way PRV,link_2848,33,16.495557740300068
Woodland Way PRV,link_2848,34,16.515980526314692
Woodland Way PRV,link_2848,35,16.53695971422411
Woodland Way PRV,link_2848,36,16.558495304028327
Cold Harbour Lane PRV,link_2912,0,35.46694721482837
Cold Harbour Lane PRV,link_2912,0,35.20829443854003
Cold Harbour Lane PRV,link_2912,3,35.20997168234263
Cold Harbour Lane PRV,link_2912,4,35.20829443854003
Cold Harbour Lane PRV,link_2912,5,35.21019129347998
Cold Harbour Lane PRV,link_2912,6,35.21566224716249
Cold Harbour Lane PRV,link_2912,7,35.224707299587564
Cold Harbour Lane PRV,link_2912,8,35.23732645075519
Cold Harbour Lane PRV,link_2912,9,35.253519700665386
Cold Harbour Lane PRV,link_2912,10,35.273287049318135
Cold Harbour Lane PRV,link_2912,11,35.29662849671344
Cold Harbour Lane PRV,link_2912,12,35.32354404285131
Cold Harbour Lane PRV,link_2912,13,35.354033687731736
Cold Harbour Lane PRV,link_2912,14,35.38809743135472
Cold Harbour Lane PRV,link_2912,15,35.42573527372027
Cold Harbour Lane PRV,link_2912,16,35.46694721482837
