index,type,C
0,pipe,159.99999970361924
1,pipe,159.99999970361924
2,pipe,159.99999970361924
3,pipe,159.9999997188138
4,pipe,159.9999997188138
5,pipe,159.9999997188138
6,pipe,159.9999997188138
7,pipe,159.9999997188138
8,pipe,159.9999997188138
9,pipe,45.000000190484876
10,pipe,45.000000190484876
11,pipe,45.000000190484876
12,pipe,45.000000190484876
13,pipe,159.9999997188138
14,pipe,159.99999998743158
15,pipe,159.99999969465506
16,pipe,159.99999969465506
17,pipe,159.99999998743158
18,pipe,159.99999969465506
19,pipe,159.99999969465506
20,pipe,159.99999969465506
21,pipe,159.99999969465506
22,pipe,159.99999969465506
23,pipe,159.99999969465506
24,pipe,159.99999969465506
25,pipe,159.9999979427716
26,pipe,96.17024294623828
27,pipe,159.99999969465506
28,pipe,96.17024294623828
29,pipe,159.9999997188138
30,pipe,159.99999970361924
31,pipe,159.99999970361924
32,pipe,159.99999970361924
33,pipe,123.55650297849681
34,pipe,159.9999997188138
35,pipe,45.000000190484876
36,pipe,123.55650297849681
37,pipe,123.55650297849681
38,pipe,123.55650297849681
39,pipe,159.99999997287114
40,pipe,159.9999997188138
41,pipe,159.9999997188138
42,pipe,123.55650297849681
43,pipe,159.9999997188138
44,pipe,45.000000190484876
45,pipe,159.9999979427716
46,pipe,159.99999969465506
47,pipe,159.99999998743158
48,pipe,159.99999998743158
49,pipe,159.99999998743158
50,pipe,159.99999998743158
51,pipe,159.99999998743158
52,pipe,159.99999986457914
53,pipe,159.9999979427716
54,pipe,159.99999998743158
55,pipe,159.99999998743158
56,pipe,159.99999998743158
57,pipe,159.99999998743158
58,pipe,159.99999986457914
59,pipe,159.99999974586189
60,pipe,123.55650297849681
61,pipe,159.99994673276134
62,pipe,159.99999998743158
63,pipe,96.17024294623828
64,pipe,96.17024294623828
65,pipe,96.17024294623828
66,pipe,159.99999974586189
67,pipe,123.55650297849681
68,pipe,159.99999974586189
69,pipe,159.99999970361924
70,pipe,159.99999974586189
71,pipe,159.99999974586189
72,pipe,159.99999974586189
73,pipe,159.9999997188138
74,pipe,159.9999997188138
75,pipe,159.9999979427716
76,pipe,159.9999979427716
77,pipe,159.9999979427716
78,pipe,159.9999979427716
79,pipe,159.99999986457914
80,pipe,159.9999979427716
81,pipe,159.9999979427716
82,pipe,159.9999979427716
83,pipe,159.9999979427716
84,pipe,159.9999979427716
85,pipe,159.9999979427716
86,pipe,159.99999998743158
87,pipe,159.99999998743158
88,pipe,159.99999998743158
89,pipe,159.99999998743158
90,pipe,159.99999998743158
91,pipe,159.9999979427716
92,pipe,159.9999979427716
93,pipe,159.9999997188138
94,pipe,123.55650297849681
95,pipe,123.55650297849681
96,pipe,123.55650297849681
97,pipe,159.9999979427716
98,pipe,159.9999979427716
99,pipe,159.9999979427716
100,pipe,159.9999979427716
101,pipe,159.9999979427716
102,pipe,159.9999979427716
103,pipe,159.9999979427716
104,pipe,159.99999969465506
105,pipe,159.9999979427716
106,pipe,159.99999986457914
107,pipe,159.9999997188138
108,pipe,159.99999986457914
109,pipe,159.9999979427716
110,pipe,159.9999979427716
111,pipe,159.99999986457914
112,pipe,159.99999986457914
113,pipe,159.99999998743158
114,pipe,159.9999979427716
115,pipe,159.99999998743158
116,pipe,159.9999979427716
117,pipe,159.9999979427716
118,pipe,88.41819999999998
119,pipe,159.9999979427716
120,pipe,159.9999979427716
121,pipe,159.9999979427716
122,pipe,159.99999998743158
123,pipe,159.99999998743158
124,pipe,159.9999979427716
125,pipe,159.9999997188138
126,pipe,159.99999969465506
127,pipe,159.99999970361924
128,pipe,159.99999969465506
129,pipe,159.99999969465506
130,pipe,159.99999969465506
131,pipe,159.99999969465506
132,pipe,159.99999969465506
133,pipe,159.9999979427716
134,pipe,159.99999969465506
135,pipe,96.17024294623828
136,pipe,159.99999970361924
137,pipe,123.55650297849681
138,pipe,123.55650297849681
139,pipe,159.9999979427716
140,pipe,159.9999979427716
141,pipe,159.9999979427716
142,pipe,159.9999979427716
143,pipe,159.99999998743158
144,pipe,159.99999969465506
145,pipe,159.99999998743158
146,pipe,159.99999998743158
147,pipe,159.99999986457914
148,pipe,159.99999969465506
149,pipe,159.9999997188138
150,pipe,159.99999970361924
151,pipe,159.9999997188138
152,pipe,45.000000190484876
153,pipe,45.000000190484876
154,pipe,45.000000190484876
155,pipe,88.41819999999998
156,pipe,159.99999986457914
157,pipe,159.99999970361924
158,pipe,159.99999970361924
159,pipe,159.99999970361924
160,pipe,159.99999970361924
161,pipe,159.99999970361924
162,pipe,159.99999970361924
163,pipe,159.99999970361924
164,pipe,159.9999997188138
165,pipe,159.9999997188138
166,pipe,45.000000190484876
167,pipe,159.99999998743158
168,pipe,159.99999969465506
169,pipe,45.000000190484876
170,pipe,159.9999979427716
171,pipe,159.9999979427716
172,pipe,159.99999148658347
173,pipe,159.99999998743158
174,pipe,159.99999969465506
175,pipe,159.9999979427716
176,pipe,159.99999986457914
177,pipe,159.99999970361924
178,pipe,159.99999970361924
179,pipe,45.000000190484876
180,pipe,45.000000190484876
181,pipe,159.9999997188138
182,pipe,159.9999997188138
183,pipe,159.9999997188138
184,pipe,159.9999997188138
185,pipe,159.9999997188138
186,pipe,45.000000190484876
187,pipe,159.99999986457914
188,pipe,159.99999998743158
189,pipe,159.9999979427716
190,pipe,159.9999997188138
191,pipe,159.99999998743158
192,pipe,159.99999997287114
193,pipe,159.9999979427716
194,pipe,159.99999148658347
195,pipe,159.99999148658347
196,pipe,159.99999148658347
197,pipe,159.99999148658347
198,pipe,96.17024294623828
