prv_id,prv_link,flow,outlet_pressure
Lodge Causeway PRV,link_2820,0,18.068923393314
Lodge Causeway PRV,link_2820,0,17.60073099451532
Lodge Causeway PRV,link_2820,1,17.60073099451532
Lodge Causeway PRV,link_2820,2,17.61516385329053
Lodge Causeway PRV,link_2820,3,17.63522272937976
Lodge Causeway PRV,link_2820,4,17.660907622783018
Lodge Causeway PRV,link_2820,5,17.6922185335003
Lodge Causeway PRV,link_2820,6,17.729155461531608
Lodge Causeway PRV,link_2820,7,17.771718406876943
Lodge Causeway PRV,link_2820,8,17.819907369536303
Lodge Causeway PRV,link_2820,9,17.873722349509688
Lodge Causeway PRV,link_2820,10,17.9331633467971
Lodge Causeway PRV,link_2820,11,17.998230361398537
Lodge Causeway PRV,link_2820,12,18.068923393314
Stoke Lane PRV,link_2835,0,21.416393309593726
Stoke Lane PRV,link_2835,0,7.597479100025252
Stoke Lane PRV,link_2835,6,7.597479100025252
Stoke Lane PRV,link_2835,7,8.399555972664755
Stoke Lane PRV,link_2835,8,9.183336980240465
Stoke Lane PRV,link_2835,9,9.94882212275238
Stoke Lane PRV,link_2835,10,10.6960114002005
Stoke Lane PRV,link_2835,11,11.424904812584824
Stoke Lane PRV,link_2835,12,12.135502359905354
Stoke Lane PRV,link_2835,13,12.82780404216209
Stoke Lane PRV,link_2835,14,13.501809859355028
Stoke Lane PRV,link_2835,15,14.157519811484173
Stoke Lane PRV,link_2835,16,14.794933898549523
Stoke Lane PRV,link_2835,17,15.414052120551078
Stoke Lane PRV,link_2835,18,16.01487447748884
Stoke Lane PRV,link_2835,19,16.597400969362802
Stoke Lane PRV,link_2835,20,17.161631596172974
Stoke Lane PRV,link_2835,21,17.707566357919347
Stoke Lane PRV,link_2835,22,18.235205254601926
Stoke Lane PRV,link_2835,23,18.744548286220713
Stoke Lane PRV,link_2835,24,19.2355954527757
Stoke Lane PRV,link_2835,25,19.708346754266895
Stoke Lane PRV,link_2835,26,20.162802190694297
Stoke Lane PRV,link_2835,27,20.5989617620579
Stoke Lane PRV,link_2835,28,21.01682546835771
Stoke Lane PRV,link_2835,29,21.416393309593726
Woodland Way PRV,link_2848,0,16.543692782912878
Woodland Way PRV,link_2848,0,16.148168652556414
Woodland Way PRV,link_2848,5,16.148168652556414
Woodland Way PRV,link_2848,6,16.15178888368772
Woodland Way PRV,link_2848,7,16.155860906484165
Woodland Way PRV,link_2848,8,16.160384720945757
Woodland Way PRV,link_2848,9,16.16536032707249
Woodland Way PRV,link_2848,10,16.170787724864372
Woodland Way PRV,link_2848,11,16.176666914321395
Woodland Way PRV,link_2848,12,16.182997895443563
Woodland Way PRV,link_2848,13,16.189780668230878
Woodland Way PRV,link_2848,14,16.197015232683334
Woodland Way PRV,link_2848,15,16.204701588800937
Woodland Way PRV,link_2848,16,16.212839736583682
Woodland Way PRV,link_2848,17,16.221429676031573
Woodland Way PRV,link_2848,18,16.230471407144606
Woodland Way PRV,link_2848,19,16.239964929922785
Woodland Way PRV,link_2848,20,16.249910244366106
Woodland Way PRV,link_2848,21,16.260307350474577
Woodland Way PRV,link_2848,22,16.271156248248186
Woodland Way PRV,link_2848,23,16.28245693768694
Woodland Way PRV,link_2848,24,16.294209418790842
Woodland Way PRV,link_2848,25,16.30641369155989
Woodland Way PRV,link_2848,26,16.31906975599408
Woodland Way PRV,link_2848,27,16.33217761209341
Woodland Way PRV,link_2848,28,16.345737259857888
Woodland Way PRV,link_2848,29,16.35974869928751
Woodland Way PRV,link_2848,30,16.374211930382277
Woodland Way PRV,link_2848,31,16.38912695314219
Woodland Way PRV,link_2848,32,16.404493767567242
Woodland Way PRV,link_2848,33,16.420312373657442
Woodland Way PRV,link_2848,34,16.436582771412787
Woodland Way PRV,link_2848,35,16.453304960833275
Woodland Way PRV,link_2848,36,16.470478941918905
Woodland Way PRV,link_2848,37,16.48810471466968
Woodland Way PRV,link_2848,38,16.506182279085603
Woodland Way PRV,link_2848,39,16.52471163516667
Woodland Way PRV,link_2848,40,16.543692782912878
Cold Harbour Lane PRV,link_2912,0,35.93399550631713
Cold Harbour Lane PRV,link_2912,0,35.266024574140175
Cold Harbour Lane PRV,link_2912,3,35.2772397117023
Cold Harbour Lane PRV,link_2912,4,35.26900126780779
Cold Harbour Lane PRV,link_2912,5,35.266024574140175
Cold Harbour Lane PRV,link_2912,6,35.26830963069947
Cold Harbour Lane PRV,link_2912,7,35.275856437485665
Cold Harbour Lane PRV,link_2912,8,35.28866499449876
Cold Harbour Lane PRV,link_2912,9,35.30673530173876
Cold Harbour Lane PRV,link_2912,10,35.330067359205664
Cold Harbour Lane PRV,link_2912,11,35.358661166899466
Cold Harbour Lane PRV,link_2912,12,35.392516724820176
Cold Harbour Lane PRV,link_2912,13,35.43163403296778
Cold Harbour Lane PRV,link_2912,14,35.476013091342296
Cold Harbour Lane PRV,link_2912,15,35.525653899943705
Cold Harbour Lane PRV,link_2912,16,35.58055645877202
Cold Harbour Lane PRV,link_2912,17,35.64072076782724
Cold Harbour Lane PRV,link_2912,18,35.70614682710936
Cold Harbour Lane PRV,link_2912,19,35.77683463661838
Cold Harbour Lane PRV,link_2912,20,35.85278419635431
Cold Harbour Lane PRV,link_2912,21,35.93399550631713
